Group,Filter,URL
Material,Wool-Blend,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=419&f%5B0%5D.ValueId=10437
Material,Rip-Stop,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=419&f%5B0%5D.ValueId=8901
Material,Kevlar™,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=419&f%5B0%5D.ValueId=10440
Material,37.5®,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=419&f%5B0%5D.ValueId=10463
Material,HPPE,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=419&f%5B0%5D.ValueId=10464
Material,Latex,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=419&f%5B0%5D.ValueId=10465
Material,Nitrile,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=419&f%5B0%5D.ValueId=10466
Material,Poron®,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=419&f%5B0%5D.ValueId=10467
Material,PVC,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=419&f%5B0%5D.ValueId=10468
Occupation,General Construction,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=742&f%5B0%5D.ValueId=394225
Occupation,Road Worker,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=742&f%5B0%5D.ValueId=618867
Occupation,Carpenter,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=742&f%5B0%5D.ValueId=394226
Occupation,Bricklayer,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=742&f%5B0%5D.ValueId=394227
Occupation,Roofer,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=742&f%5B0%5D.ValueId=394228
Occupation,Electrician,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=742&f%5B0%5D.ValueId=394229
Occupation,Floorlayer,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=742&f%5B0%5D.ValueId=394230
Occupation,Plumber,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=742&f%5B0%5D.ValueId=394231
Occupation,Painter,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=742&f%5B0%5D.ValueId=394232
Occupation,Gardener,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=742&f%5B0%5D.ValueId=394233
Occupation,Roadworker & Railway Worker,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=742&f%5B0%5D.ValueId=394234
Occupation,Facility Management,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=742&f%5B0%5D.ValueId=394235
Occupation,Transportation & Logistics,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=742&f%5B0%5D.ValueId=394236
Occupation,Metal Construction,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=742&f%5B0%5D.ValueId=569327
Occupation,Welding,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=742&f%5B0%5D.ValueId=569326
Occupation,Mining,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=742&f%5B0%5D.ValueId=569328
Occupation,Automotive,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=742&f%5B0%5D.ValueId=395416
Occupation,Repair and Installation of Machinery and Equipment,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=742&f%5B0%5D.ValueId=569325
Occupation,"Power Supply, Gas & Fuel",https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=742&f%5B0%5D.ValueId=395417
Season,Autumn/Winter,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=241&f%5B0%5D.ValueId=8368
Season,Spring/Summer,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=241&f%5B0%5D.ValueId=8369
Season,All Year,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=241&f%5B0%5D.ValueId=8370
Collection,AllroundWork,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=503&f%5B0%5D.ValueId=12000
Collection,FlexiWork,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=503&f%5B0%5D.ValueId=11997
Collection,LiteWork,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=503&f%5B0%5D.ValueId=11998
Collection,High-Vis,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=503&f%5B0%5D.ValueId=619522
Collection,ProtecWork,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=503&f%5B0%5D.ValueId=12370
CE Certification,Confidence in textiles (OEKO-TEX®),https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=453&f%5B0%5D.ValueId=573506
CE Certification,EN 61482-2:2020 - Protective clothing against the thermal hazards of an electric arc ,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=453&f%5B0%5D.ValueId=656020
CE Certification,RIS-3279-TOM,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=453&f%5B0%5D.ValueId=679460
